Date,Amount,Category,Description
29-05-2023,15234.78,Education,Online course subscription
30-05-2023,192.89,Entertainment,Movie ticket
30-05-2023,285.35,Miscellaneous,Personal care items
30-05-2023,12455.00,Education,Online course subscription
31-05-2023,6778.30,Health,Pharmacy prescription
01-06-2023,1279.12,Utilities,Electricity bill
01-06-2023,6910.48,Housing,Rent payment
01-06-2023,1608.74,Dining,Restaurant meal
01-06-2023,827.75,Transportation,Bus pass
02-06-2023,593.97,Groceries,Supermarket
02-06-2023,289.18,Transportation,Petrol filling
02-06-2023,6557.43,Housing,Rent payment
02-06-2023,4233.58,Groceries,Grocery store purchase
02-06-2023,1354.28,Utilities,Internet subscription
03-06-2023,321.29,Transportation,Bus pass
03-06-2023,1338.79,Dining,Coffee shop
03-06-2023,149.95,Miscellaneous,Gift purchase
03-06-2023,233.18,Miscellaneous,Charity donation
03-06-2023,16989.31,Education,Textbook purchase
04-06-2023,16.15,Transportation,Train ticket
05-06-2023,171.31,Miscellaneous,Gift purchase
05-06-2023,381.22,Miscellaneous,Charity donation
05-06-2023,5255.03,Health,Pharmacy prescription
05-06-2023,3999.94,Groceries,Grocery store purchase
05-06-2023,115.43,Miscellaneous,Charity donation
05-06-2023,686.02,Transportation,Train ticket
06-06-2023,6342.49,Housing,Mortgage installment
06-06-2023,4232.98,Groceries,Farmers market
06-06-2023,486.75,Miscellaneous,Personal care items
08-06-2023,453.53,Transportation,Bus pass
08-06-2023,608.98,Utilities,Electricity bill
08-06-2023,970.28,Utilities,Electricity bill
08-06-2023,1828.21,Groceries,Supermarket
08-06-2023,774.79,Transportation,Petrol filling
08-06-2023,993.37,Dining,Restaurant meal
10-06-2023,740.54,Dining,Fast food
10-06-2023,137.91,Entertainment,Movie ticket
10-06-2023,158.16,Miscellaneous,Gift purchase
11-06-2023,647.59,Dining,Coffee shop
11-06-2023,538.39,Transportation,Train ticket
12-06-2023,2133.21,Groceries,Farmers market
13-06-2023,2241.35,Groceries,Supermarket
13-06-2023,2041.41,Groceries,Supermarket
13-06-2023,190.56,Dining,Coffee shop
14-06-2023,1028.52,Groceries,Farmers market
14-06-2023,10499.83,Education,Online course subscription
14-06-2023,938.76,Dining,Coffee shop
14-06-2023,6503.10,Education,Online course subscription
14-06-2023,359.98,Miscellaneous,Personal care items
16-06-2023,628.56,Transportation,Petrol filling
16-06-2023,56.08,Miscellaneous,Personal care items
16-06-2023,6167.56,Health,Doctor appointment
17-06-2023,369.99,Miscellaneous,Gift purchase
17-06-2023,698.68,Groceries,Grocery store purchase
17-06-2023,2683.51,Health,Health insurance
17-06-2023,10871.48,Housing,Property tax
17-06-2023,13694.48,Education,School fees
17-06-2023,150.43,Entertainment,Streaming service subscription
18-06-2023,222.19,Dining,Fast food
18-06-2023,195.81,Miscellaneous,Personal care items
18-06-2023,1021.47,Groceries,Grocery store purchase
18-06-2023,1356.11,Utilities,Internet subscription
19-06-2023,8179.50,Housing,Rent payment
19-06-2023,3899.41,Groceries,Grocery store purchase
19-06-2023,1042.09,Utilities,Internet subscription
19-06-2023,620.46,Transportation,Petrol filling
20-06-2023,415.03,Transportation,Bus pass
20-06-2023,378.39,Transportation,Petrol filling
20-06-2023,6154.61,Education,Online course subscription
21-06-2023,7872.03,Housing,Mortgage installment
21-06-2023,815.78,Groceries,Grocery store purchase
21-06-2023,460.88,Groceries,Grocery store purchase
22-06-2023,590.67,Transportation,Petrol filling
22-06-2023,8091.15,Housing,Mortgage installment
23-06-2023,8124.73,Housing,Mortgage installment
23-06-2023,704.00,Utilities,Water bill
23-06-2023,13776.21,Housing,Rent payment
24-06-2023,815.55,Utilities,Water bill
24-06-2023,980.61,Utilities,Water bill
24-06-2023,1625.28,Dining,Coffee shop
25-06-2023,413.57,Miscellaneous,Gift purchase
25-06-2023,8510.41,Housing,Rent payment
26-06-2023,1173.86,Groceries,Farmers market
26-06-2023,748.88,Transportation,Train ticket
26-06-2023,7059.88,Education,Textbook purchase
27-06-2023,170.51,Entertainment,Streaming service subscription
27-06-2023,438.92,Miscellaneous,Personal care items
27-06-2023,184.23,Entertainment,Concert ticket
28-06-2023,630.47,Utilities,Electricity bill
28-06-2023,197.75,Entertainment,Streaming service subscription
28-06-2023,2365.39,Groceries,Grocery store purchase
29-06-2023,160.60,Transportation,Rickshaw total daily cost
29-06-2023,7462.18,Housing,Mortgage installment
29-06-2023,123.16,Entertainment,Concert ticket
29-06-2023,827.15,Utilities,Water bill
30-06-2023,1106.77,Dining,Coffee shop
30-06-2023,873.85,Utilities,Water bill
30-06-2023,256.99,Miscellaneous,Gift purchase
30-06-2023,1592.22,Groceries,Farmers market
30-06-2023,179.92,Entertainment,Concert ticket
30-06-2023,1479.00,Groceries,Supermarket
01-07-2023,8862.74,Housing,Rent payment
02-07-2023,947.89,Utilities,Water bill
02-07-2023,108.75,Entertainment,Streaming service subscription
02-07-2023,3289.66,Groceries,Grocery store purchase
02-07-2023,8698.63,Housing,Property tax
02-07-2023,77.88,Miscellaneous,Charity donation
03-07-2023,466.26,Transportation,Train ticket
04-07-2023,18197.48,Education,Textbook purchase
04-07-2023,1834.71,Groceries,Supermarket
04-07-2023,13389.80,Education,School fees
04-07-2023,750.84,Transportation,Train ticket
05-07-2023,125.69,Entertainment,Concert ticket
05-07-2023,269.36,Miscellaneous,Gift purchase
05-07-2023,6751.36,Housing,Mortgage installment
06-07-2023,787.16,Utilities,Water bill
07-07-2023,904.22,Transportation,Train ticket
07-07-2023,6484.50,Education,School fees
08-07-2023,1803.80,Dining,Fast food
08-07-2023,235.79,Miscellaneous,Personal care items
08-07-2023,197.06,Entertainment,Streaming service subscription
08-07-2023,7463.74,Housing,Rent payment
08-07-2023,433.62,Transportation,Rickshaw total daily cost
10-07-2023,2532.41,Health,gym fee
10-07-2023,16577.74,Education,School fees
11-07-2023,125.90,Entertainment,Concert ticket
11-07-2023,3365.80,Groceries,Farmers market
11-07-2023,870.33,Dining,Fast food
11-07-2023,912.58,Dining,Fast food
12-07-2023,72.68,Transportation,Bus pass
12-07-2023,19767.00,Education,Textbook purchase
13-07-2023,1313.19,Dining,Coffee shop
13-07-2023,110.41,Entertainment,Movie ticket
13-07-2023,162.31,Miscellaneous,Gift purchase
13-07-2023,89.81,Miscellaneous,Gift purchase
14-07-2023,12841.43,Education,Online course subscription
14-07-2023,880.36,Transportation,Bus pass
14-07-2023,964.05,Transportation,Train ticket
15-07-2023,1112.96,Utilities,Electricity bill
15-07-2023,1423.69,Dining,Restaurant meal
16-07-2023,2043.41,Groceries,Grocery store purchase
16-07-2023,417.59,Miscellaneous,Gift purchase
16-07-2023,704.76,Utilities,Internet subscription
16-07-2023,9193.05,Housing,Rent payment
17-07-2023,294.22,Miscellaneous,Gift purchase
17-07-2023,2242.50,Groceries,Farmers market
17-07-2023,228.79,Miscellaneous,Gift purchase
17-07-2023,456.99,Miscellaneous,Personal care items
17-07-2023,105.36,Transportation,Rickshaw total daily cost
17-07-2023,88.08,Miscellaneous,Gift purchase
18-07-2023,19186.54,Education,School fees
18-07-2023,212.12,Miscellaneous,Gift purchase
18-07-2023,609.72,Dining,Coffee shop
19-07-2023,11415.12,Housing,Property tax
19-07-2023,1382.02,Dining,Restaurant meal
19-07-2023,1651.81,Dining,Fast food
19-07-2023,3514.17,Health,Health insurance
20-07-2023,3997.32,Groceries,Farmers market
20-07-2023,839.78,Utilities,Water bill
20-07-2023,11820.08,Education,Textbook purchase
20-07-2023,156.86,Entertainment,Streaming service subscription
20-07-2023,196.11,Entertainment,Concert ticket
21-07-2023,326.86,Miscellaneous,Personal care items
21-07-2023,3129.05,Groceries,Supermarket
22-07-2023,781.22,Utilities,Internet subscription
22-07-2023,3895.94,Education,Textbook purchase
23-07-2023,10707.39,Education,Textbook purchase
23-07-2023,1220.10,Dining,Fast food
23-07-2023,1575.04,Dining,Coffee shop
24-07-2023,15848.71,Education,School fees
24-07-2023,4697.32,Groceries,Supermarket
24-07-2023,2508.40,Education,School fees
24-07-2023,11889.61,Housing,Property tax
24-07-2023,1770.85,Dining,Restaurant meal
24-07-2023,2921.73,Groceries,Supermarket
24-07-2023,641.68,Dining,Fast food
25-07-2023,9636.95,Health,Health insurance
25-07-2023,1246.43,Dining,Fast food
25-07-2023,13775.87,Education,Textbook purchase
26-07-2023,1510.21,Dining,Fast food
27-07-2023,260.32,Miscellaneous,Personal care items
28-07-2023,486.19,Miscellaneous,Gift purchase
28-07-2023,942.70,Utilities,Electricity bill
28-07-2023,1378.75,Utilities,Internet subscription
28-07-2023,4595.22,Groceries,Supermarket
30-07-2023,449.35,Dining,Restaurant meal
30-07-2023,521.21,Dining,Fast food
30-07-2023,555.27,Transportation,Rickshaw total daily cost
31-07-2023,180.82,Entertainment,Streaming service subscription
31-07-2023,1749.82,Groceries,Grocery store purchase
31-07-2023,2485.00,Groceries,Supermarket
01-08-2023,7569.31,Housing,Property tax
01-08-2023,4147.29,Education,School fees
01-08-2023,389.23,Transportation,Train ticket
01-08-2023,583.63,Utilities,Water bill
02-08-2023,2154.62,Education,Textbook purchase
02-08-2023,4882.88,Groceries,Grocery store purchase
02-08-2023,1539.17,Dining,Fast food
02-08-2023,806.15,Transportation,Petrol filling
02-08-2023,978.59,Utilities,Internet subscription
03-08-2023,136.83,Transportation,Rickshaw total daily cost
04-08-2023,339.55,Transportation,Rickshaw total daily cost
04-08-2023,430.68,Transportation,Train ticket
04-08-2023,1189.90,Utilities,Water bill
05-08-2023,4010.26,Groceries,Grocery store purchase
05-08-2023,186.96,Entertainment,Movie ticket
05-08-2023,106.63,Dining,Restaurant meal
05-08-2023,453.45,Transportation,Petrol filling
06-08-2023,58.91,Miscellaneous,Gift purchase
06-08-2023,177.68,Entertainment,Concert ticket
06-08-2023,1279.04,Utilities,Electricity bill
06-08-2023,861.79,Transportation,Bus pass
07-08-2023,109.42,Entertainment,Movie ticket
07-08-2023,1278.87,Dining,Restaurant meal
08-08-2023,1544.61,Dining,Restaurant meal
08-08-2023,367.76,Miscellaneous,Gift purchase
08-08-2023,9174.15,Health,Pharmacy prescription
08-08-2023,7591.85,Education,Textbook purchase
09-08-2023,15039.45,Education,Online course subscription
09-08-2023,713.68,Transportation,Rickshaw total daily cost
09-08-2023,467.09,Transportation,Train ticket
09-08-2023,8157.65,Education,Textbook purchase
09-08-2023,9062.47,Housing,Property tax
10-08-2023,116.45,Entertainment,Concert ticket
10-08-2023,4933.30,Groceries,Grocery store purchase
11-08-2023,683.75,Transportation,Petrol filling
11-08-2023,362.18,Miscellaneous,Personal care items
11-08-2023,513.91,Utilities,Electricity bill
11-08-2023,8810.46,Health,Doctor appointment
12-08-2023,660.70,Utilities,Electricity bill
12-08-2023,1637.87,Dining,Coffee shop
12-08-2023,666.24,Utilities,Internet subscription
13-08-2023,957.61,Dining,Restaurant meal
13-08-2023,2481.84,Groceries,Farmers market
13-08-2023,4088.17,Groceries,Grocery store purchase
13-08-2023,4217.02,Education,Online course subscription
14-08-2023,1726.30,Dining,Coffee shop
14-08-2023,2861.07,Education,Online course subscription
14-08-2023,958.18,Dining,Coffee shop
14-08-2023,212.52,Miscellaneous,Personal care items
14-08-2023,44.28,Transportation,Rickshaw total daily cost
14-08-2023,1234.12,Utilities,Electricity bill
15-08-2023,136.96,Entertainment,Concert ticket
15-08-2023,248.61,Miscellaneous,Personal care items
15-08-2023,920.85,Utilities,Internet subscription
16-08-2023,15241.00,Education,School fees
16-08-2023,681.90,Dining,Fast food
16-08-2023,8769.75,Housing,Mortgage installment
16-08-2023,10329.51,Housing,Mortgage installment
16-08-2023,361.13,Transportation,Bus pass
17-08-2023,873.40,Transportation,Train ticket
17-08-2023,841.24,Utilities,Electricity bill
17-08-2023,971.98,Transportation,Bus pass
17-08-2023,654.17,Utilities,Internet subscription
17-08-2023,152.87,Entertainment,Movie ticket
18-08-2023,277.59,Miscellaneous,Gift purchase
18-08-2023,594.29,Transportation,Bus pass
20-08-2023,30.96,Transportation,Bus pass
20-08-2023,192.87,Entertainment,Concert ticket
20-08-2023,486.94,Dining,Restaurant meal
20-08-2023,862.22,Transportation,Bus pass
20-08-2023,840.87,Transportation,Bus pass
20-08-2023,7017.03,Education,School fees
20-08-2023,554.26,Utilities,Internet subscription
20-08-2023,147.13,Miscellaneous,Personal care items
20-08-2023,692.41,Utilities,Electricity bill
21-08-2023,364.92,Dining,Coffee shop
21-08-2023,3328.40,Groceries,Supermarket
21-08-2023,4240.28,Education,School fees
21-08-2023,1798.07,Dining,Fast food
22-08-2023,153.50,Entertainment,Movie ticket
22-08-2023,14212.19,Housing,Mortgage installment
22-08-2023,572.97,Utilities,Water bill
23-08-2023,859.84,Utilities,Water bill
23-08-2023,88.30,Miscellaneous,Charity donation
23-08-2023,216.30,Groceries,Farmers market
24-08-2023,219.56,Miscellaneous,Personal care items
24-08-2023,1033.24,Health,gym fee
25-08-2023,1988.08,Dining,Fast food
25-08-2023,10284.71,Housing,Rent payment
26-08-2023,108.14,Transportation,Train ticket
26-08-2023,1050.35,Dining,Restaurant meal
26-08-2023,202.02,Transportation,Bus pass
26-08-2023,289.49,Dining,Restaurant meal
26-08-2023,168.18,Transportation,Petrol filling
26-08-2023,5220.29,Education,Online course subscription
27-08-2023,3630.73,Groceries,Farmers market
28-08-2023,8368.43,Housing,Rent payment
28-08-2023,165.84,Transportation,Petrol filling
29-08-2023,906.64,Transportation,Train ticket
29-08-2023,162.24,Entertainment,Streaming service subscription
29-08-2023,658.08,Transportation,Rickshaw total daily cost
29-08-2023,3808.72,Groceries,Supermarket
29-08-2023,754.58,Dining,Restaurant meal
29-08-2023,9605.20,Health,Health insurance
30-08-2023,1540.88,Dining,Restaurant meal
30-08-2023,548.97,Dining,Restaurant meal
30-08-2023,967.02,Utilities,Water bill
30-08-2023,12856.80,Education,Online course subscription
30-08-2023,682.60,Transportation,Rickshaw total daily cost
31-08-2023,6133.57,Health,gym fee
31-08-2023,1356.11,Dining,Restaurant meal
31-08-2023,15675.40,Education,Online course subscription
31-08-2023,10226.29,Housing,Property tax
31-08-2023,127.05,Entertainment,Streaming service subscription
31-08-2023,1333.29,Dining,Restaurant meal
31-08-2023,864.94,Dining,Fast food
01-09-2023,14374.95,Education,Online course subscription
01-09-2023,14984.79,Education,Online course subscription
01-09-2023,539.28,Transportation,Petrol filling
02-09-2023,19495.72,Education,Online course subscription
02-09-2023,3218.33,Groceries,Supermarket
02-09-2023,1765.44,Education,Online course subscription
02-09-2023,195.60,Miscellaneous,Personal care items
02-09-2023,475.74,Transportation,Bus pass
03-09-2023,1643.71,Dining,Coffee shop
03-09-2023,1201.47,Utilities,Electricity bill
03-09-2023,546.34,Transportation,Rickshaw total daily cost
03-09-2023,6800.25,Housing,Property tax
03-09-2023,746.24,Utilities,Electricity bill
03-09-2023,14895.47,Housing,Mortgage installment
03-09-2023,100.57,Entertainment,Streaming service subscription
03-09-2023,209.72,Miscellaneous,Gift purchase
04-09-2023,6047.64,Health,Doctor appointment
04-09-2023,662.18,Transportation,Bus pass
04-09-2023,549.19,Utilities,Electricity bill
04-09-2023,164.89,Entertainment,Concert ticket
04-09-2023,171.87,Entertainment,Streaming service subscription
04-09-2023,99.34,Groceries,Farmers market
04-09-2023,802.47,Transportation,Petrol filling
04-09-2023,604.48,Transportation,Train ticket
05-09-2023,1331.56,Utilities,Electricity bill
05-09-2023,13804.32,Education,Online course subscription
05-09-2023,360.54,Dining,Restaurant meal
06-09-2023,270.77,Miscellaneous,Gift purchase
06-09-2023,211.00,Dining,Restaurant meal
07-09-2023,535.09,Transportation,Train ticket
07-09-2023,518.92,Utilities,Internet subscription
08-09-2023,199.46,Entertainment,Concert ticket
09-09-2023,1062.20,Utilities,Internet subscription
09-09-2023,137.53,Entertainment,Concert ticket
09-09-2023,701.68,Transportation,Bus pass
09-09-2023,744.66,Transportation,Rickshaw total daily cost
09-09-2023,12669.01,Education,Online course subscription
09-09-2023,3922.67,Education,Online course subscription
10-09-2023,6525.56,Housing,Property tax
10-09-2023,1378.13,Dining,Fast food
11-09-2023,310.71,Miscellaneous,Charity donation
11-09-2023,378.24,Dining,Fast food
11-09-2023,1656.15,Education,Textbook purchase
11-09-2023,1057.89,Utilities,Internet subscription
12-09-2023,32.96,Transportation,Rickshaw total daily cost
12-09-2023,147.74,Transportation,Bus pass
13-09-2023,13656.87,Housing,Mortgage installment
14-09-2023,847.50,Transportation,Train ticket
14-09-2023,4396.20,Education,School fees
14-09-2023,1045.76,Dining,Coffee shop
15-09-2023,4222.85,Groceries,Supermarket
15-09-2023,13171.76,Education,Online course subscription
15-09-2023,1702.44,Dining,Coffee shop
15-09-2023,701.96,Utilities,Internet subscription
15-09-2023,342.20,Miscellaneous,Gift purchase
15-09-2023,93.89,Miscellaneous,Personal care items
16-09-2023,781.27,Groceries,Supermarket
16-09-2023,3402.62,Education,Textbook purchase
16-09-2023,121.45,Transportation,Rickshaw total daily cost
17-09-2023,631.91,Groceries,Farmers market
17-09-2023,1087.48,Groceries,Grocery store purchase
17-09-2023,997.06,Transportation,Bus pass
17-09-2023,890.37,Dining,Coffee shop
17-09-2023,980.25,Utilities,Electricity bill
17-09-2023,274.38,Miscellaneous,Personal care items
18-09-2023,480.84,Dining,Coffee shop
18-09-2023,110.36,Entertainment,Movie ticket
19-09-2023,374.87,Miscellaneous,Gift purchase
19-09-2023,380.48,Transportation,Train ticket
19-09-2023,5199.94,Education,Online course subscription
19-09-2023,429.48,Miscellaneous,Gift purchase
20-09-2023,641.50,Utilities,Internet subscription
20-09-2023,244.11,Transportation,Train ticket
21-09-2023,313.38,Miscellaneous,Gift purchase
21-09-2023,11093.34,Education,School fees
21-09-2023,144.19,Entertainment,Movie ticket
21-09-2023,1523.29,Dining,Restaurant meal
22-09-2023,874.41,Utilities,Water bill
22-09-2023,2217.69,Groceries,Farmers market
22-09-2023,448.85,Miscellaneous,Personal care items
22-09-2023,385.35,Transportation,Rickshaw total daily cost
22-09-2023,835.30,Utilities,Electricity bill
23-09-2023,872.73,Transportation,Petrol filling
23-09-2023,1023.49,Utilities,Water bill
23-09-2023,3448.07,Groceries,Farmers market
23-09-2023,1251.77,Utilities,Internet subscription
23-09-2023,434.63,Miscellaneous,Gift purchase
24-09-2023,679.93,Groceries,Grocery store purchase
24-09-2023,758.42,Transportation,Petrol filling
25-09-2023,146.15,Miscellaneous,Charity donation
25-09-2023,415.70,Transportation,Train ticket
25-09-2023,440.05,Transportation,Train ticket
26-09-2023,7012.60,Housing,Property tax
26-09-2023,872.20,Transportation,Train ticket
26-09-2023,1379.75,Utilities,Electricity bill
28-09-2023,417.74,Transportation,Train ticket
28-09-2023,740.34,Utilities,Water bill
28-09-2023,265.33,Transportation,Train ticket
29-09-2023,4217.56,Education,Online course subscription
29-09-2023,340.60,Miscellaneous,Charity donation
30-09-2023,386.58,Miscellaneous,Personal care items
30-09-2023,170.54,Entertainment,Streaming service subscription
30-09-2023,12005.64,Housing,Property tax
01-10-2023,2917.73,Groceries,Supermarket
01-10-2023,45.11,Transportation,Bus pass
02-10-2023,1476.45,Groceries,Farmers market
02-10-2023,707.28,Utilities,Water bill
03-10-2023,284.63,Dining,Restaurant meal
03-10-2023,57.46,Miscellaneous,Personal care items
03-10-2023,771.09,Transportation,Rickshaw total daily cost
03-10-2023,370.72,Miscellaneous,Charity donation
04-10-2023,587.64,Dining,Restaurant meal
04-10-2023,606.17,Utilities,Internet subscription
04-10-2023,14395.00,Education,Online course subscription
05-10-2023,223.95,Miscellaneous,Gift purchase
05-10-2023,335.04,Groceries,Farmers market
05-10-2023,101.66,Transportation,Rickshaw total daily cost
05-10-2023,4578.61,Groceries,Grocery store purchase
05-10-2023,3622.14,Groceries,Farmers market
06-10-2023,422.08,Miscellaneous,Personal care items
07-10-2023,953.99,Dining,Coffee shop
07-10-2023,99.54,Miscellaneous,Personal care items
07-10-2023,105.13,Miscellaneous,Personal care items
08-10-2023,1891.03,Health,Pharmacy prescription
08-10-2023,119.80,Entertainment,Concert ticket
08-10-2023,364.03,Miscellaneous,Gift purchase
08-10-2023,1890.27,Groceries,Supermarket
09-10-2023,633.60,Utilities,Electricity bill
09-10-2023,1119.88,Dining,Fast food
09-10-2023,91.73,Miscellaneous,Charity donation
10-10-2023,72.03,Miscellaneous,Personal care items
10-10-2023,262.62,Miscellaneous,Charity donation
10-10-2023,654.53,Transportation,Rickshaw total daily cost
11-10-2023,934.34,Dining,Restaurant meal
12-10-2023,131.62,Miscellaneous,Charity donation
13-10-2023,668.49,Transportation,Rickshaw total daily cost
13-10-2023,17727.63,Education,Textbook purchase
13-10-2023,876.75,Transportation,Petrol filling
13-10-2023,822.13,Transportation,Rickshaw total daily cost
14-10-2023,269.23,Miscellaneous,Charity donation
14-10-2023,494.32,Miscellaneous,Charity donation
14-10-2023,216.38,Dining,Fast food
14-10-2023,162.83,Entertainment,Streaming service subscription
14-10-2023,14650.83,Housing,Property tax
14-10-2023,10845.04,Education,Textbook purchase
15-10-2023,1498.38,Dining,Coffee shop
16-10-2023,1273.08,Utilities,Internet subscription
16-10-2023,1264.55,Dining,Coffee shop
16-10-2023,344.21,Miscellaneous,Gift purchase
17-10-2023,1284.79,Utilities,Internet subscription
17-10-2023,1514.35,Health,Pharmacy prescription
17-10-2023,11277.32,Housing,Rent payment
17-10-2023,11922.18,Education,School fees
18-10-2023,108.69,Miscellaneous,Gift purchase
18-10-2023,13277.89,Education,Textbook purchase
18-10-2023,14631.82,Education,Textbook purchase
19-10-2023,683.74,Transportation,Petrol filling
20-10-2023,430.26,Miscellaneous,Personal care items
20-10-2023,18998.83,Education,Textbook purchase
20-10-2023,191.32,Dining,Restaurant meal
20-10-2023,296.53,Transportation,Rickshaw total daily cost
20-10-2023,3985.15,Education,School fees
21-10-2023,558.14,Utilities,Water bill
21-10-2023,151.91,Transportation,Bus pass
22-10-2023,1207.23,Dining,Restaurant meal
22-10-2023,981.31,Dining,Fast food
22-10-2023,1972.09,Dining,Fast food
22-10-2023,628.31,Dining,Restaurant meal
23-10-2023,192.85,Transportation,Rickshaw total daily cost
23-10-2023,17997.36,Education,Online course subscription
24-10-2023,12199.81,Housing,Rent payment
24-10-2023,463.31,Transportation,Bus pass
24-10-2023,663.13,Utilities,Water bill
25-10-2023,1595.15,Groceries,Grocery store purchase
25-10-2023,7527.31,Housing,Property tax
25-10-2023,320.12,Miscellaneous,Charity donation
26-10-2023,200.55,Miscellaneous,Gift purchase
26-10-2023,140.56,Miscellaneous,Personal care items
28-10-2023,245.58,Transportation,Bus pass
28-10-2023,6635.36,Housing,Mortgage installment
28-10-2023,984.82,Utilities,Internet subscription
28-10-2023,837.42,Utilities,Electricity bill
28-10-2023,577.26,Dining,Restaurant meal
29-10-2023,1211.31,Dining,Coffee shop
29-10-2023,34.23,Transportation,Bus pass
29-10-2023,3827.27,Groceries,Grocery store purchase
30-10-2023,14018.39,Housing,Property tax
30-10-2023,15948.36,Education,School fees
30-10-2023,50.58,Miscellaneous,Gift purchase
30-10-2023,11241.25,Education,Textbook purchase
30-10-2023,3972.12,Groceries,Farmers market
